lexeme;definition
parau;parole, mot, histoire
'ōiro;congre
oroio;s'abandonner, se suicider
'ārea;présentement
vehea;séparé, partagé
rāpae;dehors, à l'extérieur
mau'a;montagne
iritā;subite (mort)
aoahe;avoir une bonne opinion 
hiuao;agile, léger, rapide
māori;indigène
po'ia;faim
tīreo;première nuit et premier jour de cycle lunaire
pāfao;ardillon d'hameçon
tai'o;compter
terea;céréale
pīfao;ardillon d'hameçon
taroi;forte pluie de longue durée
maoti;plutôt
tā'ai;lien
aratō;tireur
upepe;ajouter une chose à un ensemble
mania;calme (mer)
tūroa;définitif
tā'ie;à voile, mettre à la voile
auira;ligne de feux
tarao;loche
ripoa;tourbillon
'oire;ville, commune
tāpou;poser des poteaux
tātua;ceinturer, ceinture
'ofeo;douleur abdominale
pātia;piquer
tōiri;noir
maito;chirurgien noir
tūrou;malédiction spécifique
tīria;foule
tuira;plume
inapō;hier soir
arana;cèdre
'ōtiu;noix de coco
ta'eo;empoisonné, énivrant
pāvai;grain et vent violent de courte durée
tie'e;nom moderne donné au taro
'ua'i;se retourner, se tourner
tutei;frôler
pūita;froidure, frisson
'o'oi;rapide, rapidité
'aviu;vrombissement
ahūra;bête
pōihu;étouffant, fatiguant
tōrea;pluvier doré
tuapū;bosse, bossu
hōrue;surf
rāhui;prohibition, interdiction
punua;petit animal
rātiu;radius
'īato;pièce de bois qui relie 
miriā;milliard
tāupe;baisser, se pencher
pūora;mare
moere;beau et sans nuage
mou'a;montagne
piura;étain
tuaio;colonne vertébrale
'euea;fournée
tā'au;étreindre
tūpao;trous dans les rochers
ato'a;aussi, avec
irihā;terrifiant
'āina;pays, contrée
'umua;masse de pâte de farine
tepuo;hyène
māite;doucement, soigneusement
'ā'eo;faible, maladif, grincheux
matoe;craquelure, fissure
tuapō;rêve, faveur inespérée
pītoa;avoir des taches décolorées
utu'a;récompense, salaire
mae'e;tordu
autui;poisson sacrifié aux dieux
'ōrou;sorcier
'āoha;se pencher, se courber
repoa;êre sali
purua;parents des mariés
uvira;éclairage
naero;clou
e'eva;monter dans le ciel
tītae;terme d'affection d'un enfant s'adressant à son père ou sa mère
'ūiti;mèche de lampe
hapai;audace
huero;graine, oeuf
tumoa;longueur de dix brasses
tīo'a;plat-bord
'atae;arbre à corail
raiti;riz
tāmui;clé, fermer
māiai;flatteur, exagéré
papae;poltron
tūa'u;bannir, chasser
ara'ū;immature
tāria;dahlia
pāa'a;pousser et atteindre sa taille adulte (plante)
maire;mille
tārāō;calao
pūata;meuble (terre), mou
tāaro;se présenter, affronter
mauri;revenant, esprit
mātau;avoir l'habitude
mōmoa;visage long et étroit
puiti;bottine, botte
'anae;mulet cabot
'ūmae;rouge, rougeâtre
pahoa;serpette
ruapā;cavité
'ōiro;variété d'anguille
tetua;jeune fille, jeune femme
huipū;combiné (téléphone)
arero;langue (organe)
faeno;nain
maure;taillé
tāpia;amidonner
pīhau;déchirer
aumai;lanière
taohi;homme qui guide un bateau de pêche de nuit avec une torche
'airō;tamanoir
ooroo;se pencher, être confus
tūhou;novice, nouveau, jeune
hahua;quelque chose d'impossible
'ōuma;surmulet appât
tounu;cône
fā'ao;regarder dehors, surveiller
urupū;dru, serré
aporo;charge, fardeau
mātou;nous (exclusif)
'otia;baleine, cétacé de grande taille
tū'au;chef, intendant
pāuma;cerf-volant
pāahu;creuser la terre
repua;foule
'ōura;crevette d'eau douce
rereu;hirondelle
fāito;mesure, pourcentage
tuave;récit inachevé
hinua;timidité
pīahi;disciple, élève
anaeo;pas vrai
feoro;examiner un discours
punīa;abri, refuge de poissons
apa'i;porter sur ses ailes
'aeto;aigle
māpua;menthe d'eau
aratū;route, passage
heima;hiver
tūani;requête
uta'a;ce qui est confié aux soins d'un autre
'ā'au;tube digestif, pierres et débris
hōpue;levure, levain, ferment
faite;se réconcilier
māehe;sec, fâné, brûlé
tūtau;ancre
rūa'i;vomis, vomissement
tīahi;chasser, expulser
'anei;arbuste fitchia
o'ō'o;colère, déplaisir
tauru;attacher
piria;aine
autao;préparation de nourriture
rouru;cheveu, cheveux
tao'a;bien, marchandise
pōtiu;petite noix de coco
'aihā;corde
pōniu;cheveux dressés
'ahae;oh !
uaiti;cale
'ōihe;pieu pour creuser
tāota;pâte cuite faite avec du manioc râpé et du lait de coco
nanau;désirer instamment
reohe;une voix
tāvae;nasse à poissons, épuisette
'o'eo;bec-de-canne
hao'a;herminette
fetue;épuisé
avera;brûlé, desséché
tūrio;écureuil, squirrel
pouru;crochet à fruit
pūo'a;jeu du lancer de javelot
paunu;livre (unité de masse)
araua;pilote
fārau;abri pour pirogue
pafeo;flâneur
māmea;variété de murène
pakai;pacay
paumu;battre en retraite
'āreu;pagne
ahita;aides
taruā;taro de zone sèche, macabo
'a'ai;glouton, goinfre
mario;variété de banane
pūpua;inflorescence
tōtoe;variété de crabe
aurua;toit de chaume
pāata;apparaître
māo'a;lancer
rarua;force, vigueur
pū'ao;douille de cartouche
tāmau;permanent, permanent
atama;affection pour un enfant
'āani;enclin à demander
metua;parents
horoi;mouchoir
atēnū;ADN
rauai;offrande
pinia;petit d'un animal
pāhou;jeune, nouveau, neuf
māave;fougère
pītoi;meurtrissure sur un fruit
urupā;de croissance rapide
notoi;bâtard
'autī;cordyline
'euhe;voeu à Dieu
'amia;herbe grasse
hāi'ō;va t'en
pūoro;nettoyer
fīrau;germe de noix de coco
tōmea;intoxication provoquée par les thonidés
māohe;beau, joli
ana'i;soigneux, prévoyant
ahoro;poisson rouge et blanc
fa'ea;duplicité
tiunu;Juin
mamau;être dans l'abondance
'ōumu;pâte fermentée de fruits
fāriu;se tourner, se convertir
avaha;anguille vorace
ahoea;troupe, compagnie
pōpoa;nauséabond
nāhea;comment, par où
māhia;accomplissement
marie;indigène
tāumi;ornement pectoral
tūrau;fécond, prolifique, prol
'aita;non, ne pas
autai;courant marin
'ōhau;incendiaire
fātia;placer des pierres chaud
totoe;vengeance présumée d'un crime
ohope;sorte de panier
upēpē;sale, disgracieux, d'aspect désagréable
maroā;paresseux
hāoro;dilatoire
parai;flou
'ufeu;nombreux, abondant
vaiau;cholestérol
poria;gros, charnu
'iono;ion
taime;moment, laps de temps
toita;serré, raidi, gonflé
matao;lance de guerre
anoea;expert, spécialiste
tīmui;clé, fermer à clé
pāpie;papier
mahue;être effrayé
pātui;fixer un appât
tuiau;corde
teata;théâtre,cinéma
taunu;chronique
ami'o;odeur forte et tenace
apa'a;fleur de Tiare Tahiti
pūere;moisi, piqué
'ōihi;dévier légèrement
pūahi;chaud, chauffé
tūa'i;attendre, patienter
māene;perche d'or
feume;envie, malice, haine
ahuhe;rapide ou précoce
atata;poisson
vetea;être soulevé
pāreu;pagne
fāita;grimacer
māiha;à travers
pū'oi;jointure
tōuri;noir, noirâtre
'ā'ai;légende, conte
'aito;courageux, brave
tūara;voile d'un navire
taofe;café
atahe;alstonia (arbrisseau)
māehe;nécrose
tūi'a;sacrifice humain au marae
'ōiti;épuisette à long manche
tūtai;nuages rouges à l'horizon
'ātiu;noix de coco
'urea;urée
rātou;ils, elles, eux
iripo;tourbillon
pāoho;aller témérairement
pātia;javelot
tatai;virer de bord
tūnoa;grain de beauté
nae'a;être atteint
teina;petit frère d'un garçon
'ōhiu;jeunes pousses, extrémité
uta'a;fret d'un navire
arava;beau, blanc
fetui;enfiler
'ōhie;facile à réaliser, apte
hātua;ceinture, bel
neave;nerf
ma'ua;ignorant, maladroit
rūmai;avoir mûri
motoi;joindre, accoler
aviri;productif
tūtae;excrément, crotte
vaipā;petite quantité d'un grand groupe
tuaha;qui a toutes ses plumes
tupua;enchanteur, magicien
fēura;se rallumer, apparaître 
pāira;cicatrice, tache de naissance
ma'ue;voler, s'envoler
torea;chant rythmé en battant sur la poutre à fabriquer le tapa
araau;courant d'eau
tuitā;être bien adapté
heiva;divertissement
pūiti;petit, en petite quantité
mahae;déchiré
'ō'io;poisson-os
otefa;s'admirer
pūfao;cancer
hōpoi;porter, transporter
paete;être en colère, éprouver
hau'a;odeur, odorat
huitā;commotion, consternation
māere;être étonné, surpris
huhuā;sommet d'une montagne
maiii;dévier
'a'ea;être touché, être atteint
hehei;méthode de pêche
'airi;cerf, biche
pōito;bouée
tia'ū;sommet
arofa;aimé
taipē;personne décrépite
'ō na;là
'ōihā;oui, c'est ainsi
tarai;taillé, tailler
tāpae;épuisette
'u'au;partie externe de l'igname
taote;docteur, médecin
'aiea;agir pour donner la mort
rātio;radio
puava;ruban, jabot, cocarde
'avau;reproche, réprimande
'aite;écorce de noix de coco
māvae;fissure, crevasse
'ōfai;agati (plante médicinale)
poārō;poireau
paoti;théière, cafetière
hōani;tenter, amadouer
'aore;négation
nonoa;se repousser mutuellement
teniā;délégation
hāono;marécage
tinai;faire cesser, combattre
vāvia;vert, qui n'est pas arrivé à maturité
matai;pointe de javelot
'ōtua;à reculons, être couché 
hahai;malade
ahuru;gâté, pourri
pīnau;cérumen
pūtua;épais (liquide), coagulé
'ōoni;stérile
rāine;ligne
pehau;nageoire
huira;roue de véhicule, volant
tuati;infirmier, infirmière
pūnau;jeu dans l'eau
aroti;enjoué, animé, vif
niuru;mule, mulet
pa'au;étoffe de tapa rude
maoro;long, tard
'āi'a;patrie, pays natal
vai'ā;être vivant, matière organique
'ōpae;se détourner, s'écarter
tūa'e;dégager, faire de la place
oromi;disparaître, être perdu 
'ūtai;eau de mer
'auru;extrémité, bout, pointe
purou;flanc de montagne
taipu;avoir les membres lourds
hai'i;long à mûrir
tavai;adoptif
tātou;nous (inclusif)
huare;salive, crachat
pārau;nacre, huître perlière
arata;arche
'āivi;colline
hurui;faire retomber
pa'ia;être rassasié
pō'ai;bobine de fil,
tāora;jeter, lancer
māoti;intrus dans une conversation
mamao;avoir une accalmie
pāhae;fendre, déchirer
tīa'i;gardien
tītoe;instrument pour faire des rainures
'āhoa;mal de tête, migraine
ufatū;de bonne race, morceau
tiote;être précoce
vaero;extrémités du corps (pied)
pa'oā;narines
amo'o;prière ancienne
vauau;réceptacle, récipient
'ōuma;organes du thorax
tī'au;passer son bras sous celui d'un autre
u'a'ō;vermet
pūrau;hibiscus des plages
titia;bâtonnet, allumette
utuhi;prière ancienne
pūori;oisif, rôdeur
feori;vagabond
pātoa;opercule du turbo cornetus
honoi;variété de corail
a'aia;variété de plantain
